65.7	63.9	65.1	70.4
65.9	63.8	65.3	70.5
66	63.7	65.4	70.5
65.7	63.5	65.3	70.4
65.8	63.6	64.8	70.2
65.7	63.4	65.1	70.5
65.8	63.5	65.8	70.3
66.1	63.2	66.2	70
65.8	62.6	65.9	70.1
66	62.7	66	70
65.9	62.5	66.5	70.4
65.6	63.2	66.2	70.1
65.8	63.4	66.2	69.6
66	63.5	66.4	70.1
65.8	63.7	66.5	69.8
66	63.8	66.7	69.6
66	63.9	66.3	70
66.2	63.8	66.2	69.7
66.1	63.7	65.7	70.1
66.1	63.4	65.7	69.5
